Order,Fur Orientation,No.,Weber #,Names,Maximum Penetration Depth [mm],Normalized Maximum Penetration Depth [mm],Steady State Penetration Depth [mm],Max - Final Pen,Delta_Pen,Sucking Effect Notes,Delta_spread,Delta_pos,Date,Filename,Resolution [pixels/mm],Normalized Delta Pen,Fur Density [furs/cm^2],Inter-fiber spacing (um) [d],Number of Drops,Needle,Fur Sample,Fur Type,Replication,Camera Settings,Lighting,Droplet Final Spread [mm],Droplet Maximum Spread [mm],Steady State Dome Height [mm],Minimum Dome Height [mm],Volume Below Fur at Max. Spread [mm^3],Video Index of Max. Spread,Normalized Delta Spread,Delta_DomeHeight,Tausp,Tausx,Taush,Tauss,Taumaxspread,denomTau,bdDenomTau,timetomax,Time T1 Spread,Time Max Spread,Time Steady Spread,Time min dH,Time SS dH,Time max dP,Time SS dP,Density of Water (kg/m^3),Viscosity of Water,Surface Tension of Water (N/m),Initial Impact Classification,Initial Impact Dome,Initial Impact Shape,Rebound Type,Final Impact Dome,Final Impact Shape,Fur Arrangement,Fragmentation,Product,Fur Strand Square Length Dimension (um) [l],Initial Spread,Do (m),Aspect Ratio,Droplet Velocity [m/s],Droplet Diameter [mm],Height [level],Modified Aspect Ratio
127,front facing up,r127,17.97085848,Agustin Soto,3.009708738,1.13098502,2.297734628,0.71197411,0,,2.103559871,0.05794798072,03/21/2023,r5_E1_3_22,30.9,0,144.1152692,483,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_2,horizontal,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,5.275080906,6.569579288,0,0,19.73474264,69,0.7904734012,0,0.9504608295,7.056451613,3.888248848,7.056451613,1.58264936,3.791111379,,,,,,,,,,997.77,0.001,0.0728,"E, W",E,W,DLR,E,W,parallel,Whole,3.269022401,350,3.171521036,0.002661139347,0.5798319328,0.7019417476,2.661139347,3,0.181906858
195,front facing up,r195,70.42228495,Zackary Morgan,3.991596639,1.557412235,3.991596639,0,0,,1.596638655,0.06689801203,01/26/2024,r5_E1_7_33,23.8,0,97.94122645,1079,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,horizontal,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,3.949579832,4.411764706,0,0,17.63022343,31,0.622964894,,19.28571429,15,19.28571429,2.209789558,,1.810127116,,,,,,,,,,997.77,0.001,0.0728,"E, i",E,i,NR,E,i,staggered,Fragmented,29.71378995,350,2.352941176,0.002562967305,0.755073478,1.415904597,2.562967305,4,0.4219373168
209,bottom facing up,r209,79.12732102,Zackary Morgan,3.108108108,1.136167131,3.108108108,0,0,,2.207207207,0.4686152546,01/26/2024,r5_E1_6_35,22.2,0,162.0324049,761,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,5,6.306306306,0,0,21.43829798,29,0.8068433252,0,0.3225806452,14.05529954,1.428571429,,1.145576383,1.883072941,,,,,,,,,,997.77,0.001,0.0728,"E, W",E,W,DLR,E,W,staggered,Whole,22.06108064,350,2.792792793,0.002735608188,0.6849684968,1.452736179,2.735608188,4,0.2788048471
94,bottom facing up,r94,8.41687333,Agustin Soto,2.275641026,0.8729950667,1.762820513,0.5128205128,-0.2564137938,1,2.916666667,0.07530802898,03/14/2023,r5_E1_4_16,31.2,-0.09836699837,100,650,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,5.673076923,6.153846154,0,0,15.99866468,98,1.11890917,0,4.907834101,10.16129032,11.58986175,11.58986175,1.613763951,5.370467384,,,,,,,,,,997.77,0.001,0.0728,"E, W",E,W,DLR,E,W,parallel,Whole,2.103496244,350,2.756410256,0.002606705481,0.65,0.4853777697,2.606705481,2,0.2499142094
106,bottom facing up,r106,14.90992887,Zack Morgan,4.851485149,1.754775152,4.851485149,0,-0.297029703,1,1.783928398,0.07933733724,03/22/2024,r5_E1_8_16,20.2,-0.1074352134,50,1650,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_8_1,horizontal,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,4.702970297,5.148514851,0,0,22.13035131,92,0.6452443182,0,2.016129032,18.62903226,0.8870967742,18.62903226,3.366336397,4.407492587,,,,,,,,,,997.77,0.001,0.0728,"E, ii",E,ii,NR,E,ii,staggered,Fragmented,8.918171998,350,2.919041899,0.002764733215,0.825,0.627280287,2.764733215,2,0.5981364548
212,bottom facing up,r212,77.85278869,Zack Morgan,5.307017544,2.087707039,5.307017544,0,0,,1.710526316,0.165796396,03/22/2024,r5_E1_7_35,22.8,0,97.94122645,1079,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,horizontal,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,4.166666667,4.385964912,0,0,20.64733508,59,0.6728973101,0,0.2592165899,22.86290323,1.296082949,,4.696944599,1.700528427,,,,,,,,,,997.77,0.001,0.0728,"E, i",E,i,NR,E,W,staggered,Whole,33.11953332,350,2.456140351,0.002542031734,0.755073478,1.494848127,2.542031734,4,0.4254122926
24,front facing up,r24,2.192237648,Agustin Soto,1.41025641,0.524625,0.9294871795,0.4807692308,-0.2564102564,,2.467948718,0.01932926027,03/10/2023,r5_E1_4_6,31.2,-0.09538636364,100,650,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,6.153846154,6.185897436,0.7371794872,0.6730769231,12.65838735,253,0.91809375,1.057692308,1.958525346,6.520737327,7.211981567,7.211981567,4.990951203,11.01994345,,,,,,,,,,997.77,0.001,0.0728,"D, W",H,W,DLR,H,W,parallel,Whole,0.5312775279,350,3.685897436,0.002688122774,0.65,0.2439325381,2.688122774,1,0.2423448609
151,bottom facing up,r151,23.76774298,,6.631205674,2.265432258,5.638297872,0.9929078014,-0.2127659574,,1.453900709,0.148647318,03/21/2023,r5_E1_5_25,28.2,-0.07268766603,49.03922353,1078,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,4.503546099,4.680851064,0,0,26.26351633,99,0.4966990512,0,5.115207373,13.68663594,1.059907834,13.68663594,3.944332991,3.802924356,,,,,,,,,,997.77,0.001,0.0728,"E, ii",E,ii,NR,E,ii,parallel,Fragmented,8.772731622,350,3.04964539,0.002927126004,0.7549019608,0.7697039778,2.927126004,3,0.3691024271
135,front facing up,r135,17.08534423,Agustin Soto,4.757281553,1.778328269,3.883495146,0.8737864078,-0.1941747573,,2.330097087,0.1177465059,03/21/2023,r5_E1_5_24,30.9,-0.07258482733,49.03922353,1078,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,5.113268608,5.145631068,0,0,20.04792306,262,0.8710179279,0,4.65437788,19.76958525,1.33640553,19.76958525,17.86240742,3.918844663,,,,,,,,,,997.77,0.001,0.0728,"E, ii",E,ii,NR,E,ii,parallel,Fragmented,6.900254823,350,2.783171521,0.002675142512,0.7549019608,0.6826355065,2.675142512,3,0.4038698156
97,bottom facing up,r97,12.40859761,Agustin Soto,4.897959184,1.900884448,4.047619048,0.8503401361,-0.1700680272,,2.142857143,0.2295258939,03/14/2023,r5_E1_5_16,29.4,-0.06600293223,49.03922353,1078,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,4.455782313,4.557823129,0.1020408163,0,17.91459318,116,0.8316369461,0.2380952381,4.65437788,14.23963134,4.562211982,14.23963134,3.067336269,4.346876953,,,,,,,,,,997.77,0.001,0.0728,"D, i",H,i,NR,H,i,parallel,Fragmented,5.202973047,350,2.31292517,0.002576673815,0.7549019608,0.5927643785,2.576673815,2,0.419303874
153,bottom facing up,r153,22.8000885,Agustin Soto,5.177993528,1.934686431,5.177993528,0,-0.1294498382,,0.7443365696,0.1716396833,03/21/2023,r5_E1_5_27,30.9,-0.04836716078,49.03922353,1078,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,3.624595469,4.30420712,0,0,20.07619339,100,0.2781111745,0,2.701612903,22.78225806,1.330645161,22.78225806,4.032168598,3.394748782,,,,,,,,,,997.77,0.001,0.0728,"E, ii",E,ii,NR,E,ii,parallel,Fragmented,9.203943291,350,2.8802589,0.002676399361,0.7549019608,0.788393938,2.676399361,3,0.4036801565
146,bottom facing up,r146,23.73220558,Agustin Soto,2.47311828,0.8369839633,2.47311828,0,-0.1075268817,,1.899641577,0.126337177,03/21/2023,r5_E1_3_26,27.9,-0.0363906071,144.1152692,483,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_2,horizontal,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,5.448028674,5.734767025,0,0,27.01542906,69,0.6429007255,0,0.3940092166,6.241935484,2.965437788,6.241935484,1.554458544,3.859864918,,,,,,,,,,997.77,0.001,0.0728,"E, W",E,W,DLR,E,W,parallel,Whole,3.888007017,350,3.548387097,0.002954797688,0.5798319328,0.7655184185,2.954797688,3,0.1638283052
117,standard,r117,22.0062092,Agustin Soto,5.5,1.980832555,5.5,0,-0.1,,1.2,0.05735334144,03/21/2023,r5_E1_5_21,30,-0.03601513736,49.03922353,1078,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,4.033333333,4.8,0,0,22.41678836,79,0.4321816483,0,2.459677419,16.65322581,2.540322581,16.65322581,1.91711754,3.651314985,,,,,,,,,,997.77,0.001,0.0728,"E, i",E,i,NR,E,i,parallel,Fragmented,8.562855823,350,2.833333333,0.002776610263,0.7549019608,0.7604411765,2.776610263,3,0.389110898
93,bottom facing up,r93,8.855409093,Agustin Soto,2.152317881,0.8040159626,1.523178808,0.6291390728,-0.09933774834,,2.947019868,0.006068617995,03/14/2023,r5_E1_3_18,30.2,-0.03710842904,144.1152692,483,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_2,horizontal,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,6.920529801,7.052980132,0,0,20.08879309,102,1.100883395,0,5,7.811059908,8.410138249,8.410138249,1.529364213,5.448887364,,,,,,,,,,997.77,0.001,0.0728,"E, W",E,W,NR,E,W,parallel,Whole,1.601340086,350,3.973509934,0.002676959141,0.5798319328,0.4912854611,2.676959141,2,0.1808318587
145,bottom facing up,r145,18.0390367,Agustin Soto,2.904290429,1.068990235,2.277227723,0.6270627063,-0.09900990099,,2.079207921,0.02193522977,03/21/2023,r5_E1_3_25,30.3,-0.03644284894,144.1152692,483,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_2,horizontal,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,5.280528053,5.544554455,0,0,21.00039842,77,0.7652998277,0,0.5760368664,6.013824885,3.202764977,6.013824885,1.964103018,3.903393354,,,,,,,,,,997.77,0.001,0.0728,"E, W",E,W,DLR,E,W,parallel,Whole,3.214132125,350,3.201320132,0.00271685403,0.5798319328,0.6960236346,2.71685403,3,0.1781764835
91,bottom facing up,r91,9.073751772,Agustin Soto,1.513157895,0.5661510833,1.480263158,0.03289473684,-0.09868421053,,2.763157895,0.1286381335,03/14/2023,r5_E1_3_16,30.4,-0.03692289674,144.1152692,483,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_2,horizontal,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,6.447368421,6.611842105,0,0,19.65944715,98,1.033841109,0,5.412442396,9.974654378,13.0437788,13.0437788,1.365581057,5.370119403,,,,,,,,,,997.77,0.001,0.0728,"E, W",E,W,NR,E,W,parallel,Whole,1.643431768,350,3.684210526,0.002672710411,0.5798319328,0.4977003695,2.672710411,2,0.1811193219
92,bottom facing up,r92,8.27568004,Agustin Soto,2.211538462,0.8426391713,1.474358974,0.7371794872,-0.09615384615,,2.820512821,0.04863833941,03/14/2023,r5_E1_3_17,31.2,-0.03663648571,144.1152692,483,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_2,horizontal,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,6.570512821,6.698717949,0,0,18.93159373,98,1.074670247,0,7.133640553,7.797235023,9.235023041,9.235023041,1.401133822,5.471759046,,,,,,,,,,997.77,0.001,0.0728,"E, W",E,W,NR,E,W,parallel,Whole,1.526397084,350,3.75,0.002624537924,0.5798319328,0.4796515896,2.624537924,2,0.1844437045
191,front facing up,r191,71.4445846,Zackary Morgan,2.076271186,0.8176929512,2.076271186,0,0,,2.118644068,0.06768583864,01/26/2024,r5_E1_6_32,23.6,0,162.0324049,761,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,5.042372881,6.313559322,0,0,17.14391825,26,0.8343805625,0,2.701612903,12.21774194,10.04032258,12.21774194,1.504745746,1.772170929,,,,,,,,,,997.77,0.001,0.0728,"E, W",E,W,NR,E,W,staggered,Whole,21.45999949,350,2.923728814,0.002539181955,0.6849684968,1.432808717,2.539181955,4,0.300372654
190,front facing up,r190,67.49924299,Zackary Morgan,1.504065041,0.609212312,1.504065041,0,-0.08130081301,2,3.577235772,0.3552391544,01/26/2024,r5_E1_6_31,24.6,-0.03293039524,162.0324049,761,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,5.406504065,6.016260163,0.1219512195,0,15.75877496,35,1.448937391,,2.678571429,9.418202765,7.171658986,9.418202765,2.192421532,1.748022418,,,,,,,,,,997.77,0.001,0.0728,"E, W",E,W,NR,E,W,staggered,Whole,20.85235797,350,1.829268293,0.002468868424,0.6849684968,1.41237801,2.468868424,4,0.3089272864
82,front facing up,r82,12.38398382,Zack Morgan,3.089430894,1.143383482,3.008130081,0.08130081301,0,,0.8130081301,0.2561135414,03/19/2024,r5_E1_6_13,24.6,0,162.0324049,761,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,4.552845528,4.959349593,0,0,19.18369932,66,0.3008903899,0,1.238479263,4.521889401,3.888248848,4.521889401,1.825009971,4.672498821,,,,,,,,,,997.77,0.001,0.0728,"E, W",E,W,DLR,E,W,staggered,Whole,3.495650617,350,3.739837398,0.002702007632,0.6849684968,0.5782789329,2.702007632,2,0.282271898
39,bottom facing up,r39,1.706562196,Agustin Soto,0.8333333333,0.298255814,0.8333333333,0,-0.06666666667,,3.5,0.03712534551,03/10/2023,r5_E1_3_9,30,-0.02386046512,144.1152692,483,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_2,horizontal,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,7.266666667,7.933333333,0.6666666667,0.6666666667,5.335244184,322,1.252674419,1,0.6013824885,5.536866359,13.45852535,13.45852535,5.792597559,13.23528277,,,,,,,,,,997.77,0.001,0.0728,"D, W",H,W,JLR,H,W,parallel,Whole,0.2956711661,350,3.766666667,0.002794022092,0.5798319328,0.2111040724,2.794022092,1,0.1732554294
