Order,No.,Fur Orientation,Fur Density [furs/cm^2],Weber #,Maximum Penetration Depth [mm],Normalized Maximum Penetration Depth [mm],Steady State Penetration Depth [mm],Max - Final Pen,Delta_Pen,Sucking Effect Notes,Delta_pos,Delta_spread,Date,Filename,Names,Resolution [pixels/mm],Inter-fiber spacing (um) [d],Normalized Delta Pen,Number of Drops,Needle,Fur Sample,Fur Type,Replication,Camera Settings,Lighting,Notes,Droplet Final Spread [mm],Droplet Maximum Spread [mm],Steady State Dome Height [mm],Minimum Dome Height [mm],Volume Below Fur at Max. Spread [mm^3],Video Index of Max. Spread,Normalized Delta Spread,Delta_DomeHeight,Tausp,Tausx,Taush,Tauss,Taumaxspread,Initial Spread,Height [level],Droplet Velocity [m/s],Droplet Diameter [mm],Aspect Ratio,Modified Aspect Ratio,Initial Impact Classification,Initial Impact Dome,Initial Impact Shape,Rebound Type,Final Impact Dome,Final Impact Shape,Fur Arrangement,Product,Fragmentation,Fur Strand Square Length Dimension (um) [l],Do (m),Density of Water (kg/m^3),Viscosity of Water,Surface Tension of Water (N/m)
207,h207,bottom facing up,49.03922353,76.95760314,17.5877193,6.798760616,17.5877193,0,0,VACATES INNER LAYER,0,1.622807018,06/04/2024,h5_E1_5.2_36,Gina Shome,22.8,1078,0,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5.2_1,horizontal,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,,3.377192982,3.771929825,0,0,13.93548665,31,0.6273170645,0,0.599078341,25.29953917,1.244239631,,0.9794994589,1.754385964,4,1.473283576,2.586900803,0.7549019608,0.4176462087,"E, PDF",E,PDF,NR,E,PDF,parallel,32.14105118,Fragmented,350,0.002586900803,997.77,0.001,0.0728
171,h171,standard,49.03922353,73.80519899,12.3245614,4.627178644,11.92982456,0.39473684,0.1639827084,Vacates an inner layer,0.2029977828,1.096491228,06/04/2024,h5_E1_5.2_30,Gina Shome,22.8,1078,0.06156627093,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,,3.157894737,4.429824561,0.2631578947,0,16.95594105,28,0.4116706979,-185,73.77880184,69.9078341,55.71428571,,1.067680063,2.061403509,4,1.421891125,2.663515362,0.7549019608,0.4056328445,"PDF, D",H,PDF,NR,H,PDF,parallel,29.93781281,Fragmented,350,0.002663515362,997.77,0.001,0.0728
126,h126,standard,50,23.88206724,3.87755102,1.503714538,3.843537415,0.03401360544,0,tiny little speck of a 1,0.05988150254,0.9863945578,06/06/2023,h5_E1_8_21,Hunter Benjamin,29.4,1650,0,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_8_1,horizontal,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,,3.945578231,4.931972789,0.1020408163,0,17.95580932,43,0.3825238738,1.020408163,4.631336406,10.80645161,5.184331797,,2.337758635,2.959183673,3,0.8220351077,2.578648355,0.825,0.641300207,"D, i",H,i,JLR,E,W,staggered,15.31557466,Whole,350,0.002578648355,997.77,0.001,0.0728
93,h93,bottom facing up,144.1152692,13.03580257,0.9420289855,0.3075165877,0.9420289855,0,-0.966,SUCKING EFFECT,0.002832306249,1.557971014,03/23/2023,h5_E1_3_18,Agustin Soto,27.6,483,-0.3153417021,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_1,horizontal,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,,4.565217391,6.231884058,2.5,0.8333333333,8.554718619,70,0.5085851258,4.166666667,11.92396313,32.3156682,47.17741935,,1.333912074,3.007246377,2,0.5572133288,3.063343648,0.5798319328,0.1580232429,"D, W",H,W,JIB,T,W,parallel,2.059959795,Whole,350,0.003063343648,997.77,0.001,0.0728
76,h76,front facing up,100,12.33138504,0.6896551724,0.2518777023,0.03448275862,0.6551724138,-0.65,SUCKING EFFECT,0.02349469126,0.8620689655,12/10/2023,h5_E1_4_13,Agustin Soto,29,650,-0.2373947344,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,,3.655172414,6.034482759,2.655172414,0.8275862069,-2.391111075,51,0.3148471279,,8.605990783,15.8640553,10.26497696,,2.09359651,2.793103448,2,0.5732383808,2.738055676,0.65,0.2379253078,"D, W",H,W,JIB,T,W,parallel,2.933948582,Whole,350,0.002738055676,997.77,0.001,0.0728
77,h77,front facing up,100,12.2755975,0.6597222222,0.2306439365,0.03472222222,0.625,-0.65,SUCKING EFFECT,0.1060969746,1.145833333,12/10/2023,h5_E1_4_14,Agustin Soto,28.8,650,-0.2272449732,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,,4.097222222,6.180555556,2.569444444,0.9027777778,-0.1368212704,57,0.4005921002,,1.751152074,10.78341014,14.28571429,,1.565067844,2.951388889,2,0.559580089,2.8603493,0.65,0.2277528621,"D, W",H,W,JIB,T,W,parallel,2.795802464,Whole,350,0.0028603493,997.77,0.001,0.0728
78,h78,front facing up,100,10.17195194,0.7931034483,0.276723176,0.3793103448,0.4137931034,-0.65,SUCKING EFFECT,0.0630066664,1.172413793,12/10/2023,h5_E1_4_15,Agustin Soto,29,650,-0.2267926899,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,,4.137931034,6.275862069,2.586206897,1,-4.479648465,48,0.4090690427,,2.851382488,9.418202765,9.245391705,,1.597970181,2.965517241,2,0.5088742394,2.866053577,0.65,0.2272995679,"D, W",H,W,JIB,T,W,parallel,2.312080281,Whole,350,0.002866053577,997.77,0.001,0.0728
92,h92,bottom facing up,144.1152692,10.26964267,2.323232323,0.8074056436,-0.03367003367,2.356902357,-0.966,SUCKING EFFECT,0.1006447997,1.144781145,03/23/2023,h5_E1_3_17,Agustin Soto,29.7,483,-0.3357192666,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_1,horizontal,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,,4.04040404,5.824915825,2.794612795,1.077441077,1.14185924,71,0.3978520563,4.882154882,14.68894009,36.46313364,26.78571429,,1.537017942,2.895622896,2,0.5103025103,2.877404117,0.5798319328,0.1682347969,"D, W ",H,W,JIB,T,W,parallel,1.727711249,Whole,350,0.002877404117,997.77,0.001,0.0728
61,h61,standard,49.03922353,10.63094401,3.566666667,1.333755966,2.7,0.8666666667,0.1,END HERE,0.06169867861,1.866666667,03/23/2023,h5_E1_5_10,Agustin Soto,30,1078,0.03739502707,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,,4.333333333,4.966666667,0,0,19.83830922,77,0.6980405053,,7.350230415,8.133640553,5.322580645,,1.409792521,2.466666667,2,0.5385714286,2.674152363,0.7549019608,0.404019355,"E, W",E,W,DLR,E,W,parallel,4.295107143,Whole,350,0.002674152363,997.77,0.001,0.0728
134,h134,front facing up,49.03922353,23.03491939,4.851728972,1.810091162,4.312383872,0.5393451,0.03267973856,"1, 4",0.0138456605,0.9477124183,03/28/2023,h5_E1_5_23,Agustin Soto,30.6,1078,0.01219221154,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,,4.019607843,4.281045752,0,0,20.16586572,63,0.3535741346,0,6.152073733,11.68202765,3.387096774,,2.363413314,3.071895425,3,0.7918552036,2.680378245,0.7549019608,0.403080914,"E, ii",E,ii,NR,E,ii,parallel,9.284936363,Fragmented,350,0.002680378245,997.77,0.001,0.0728
