ORIENTO,PHILO,PHILT,,,ORIENTT,PHOBO,PHOBT,
TOTAL,0.712962963,0.7685185185,,,TOTAL,0.2962962963,0.1944444444,
PARTIAL,0.287037037,0.2314814815,BLUE = FIRST DROP,,PARTIAL,0.6666666667,0.7962962963,RED = SECOND DROP
NONE,0,0,,,NONE,0.03703703704,0.009259259259,
,,,,,,,,
,"77, 31, 0","83, 25, 0",,,,"32, 72, 4","21, 86, 1",
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,STAGGERED,,,,,,
,,,,,,,,
,,phobic final,"21, 86, 1",,,,,
,,,,,,,,
,,phobic initial,"32, 72, 4",,,,,
,,,,,,,,
,,philic final,"83, 25, 0",,,,,
,,,,,,,,
,,philic initial,"77, 31, 0",,,,,
