HYDROPHOBIC,We,nPD,Density,Normalized Maximum Penetration Depth [mm],Normalized Delta Pen,Normalized Delta Spread,,We Avg,nPD Avg,We STD,nPD STD
10,1.727417603,0.5322243089,162.0324049,0.5322243089,0,-0.04999152884,162,1.535177167,0.5525094669,0.17569095,0.03426268673
11,1.382931901,0.5920682995,162.0324049,0.5920682995,0,0.1604415288,162,9.225634109,0.6008287573,1.044163186,0.1257407572
12,1.495181998,0.5332357923,162.0324049,0.5332357923,0,0.3126928129,162,22.92872292,0.6794256865,3.690409935,0.1683857666
64,8.021239125,0.7304102105,162.0324049,0.7304102105,0,0.4550478947,162,77.25948488,1.120192133,11.04761534,0.2299291142
65,9.876321804,0.4793174589,162.0324049,0.4793174589,0,0.5728428168,,,,,
66,9.779341399,0.5927586025,162.0324049,0.5927586025,0,0.4184178371,144,2.521994042,0.1935729437,0.5365022405,0.008343868285
118,19.17896284,0.6268656716,162.0324049,0.6268656716,0.05223880597,1.175373134,144,10.96683387,0.3721504048,0.451962164,0.01171659276
119,26.55677152,0.543588915,162.0324049,0.543588915,0,0.7335493306,144,22.93969978,0.541436991,1.00890345,0.09550844354
120,23.05043439,0.8678224729,162.0324049,0.8678224729,0,0.6593983051,144,81.81375247,0.8899521346,7.922946121,0.06023070624
172,87.45452395,1.375862822,162.0324049,1.375862822,0,-0.4948119975,,,,,
173,78.80242379,1.054338815,162.0324049,1.054338815,0,0.3728759224,100,2.420157606,0.4397665451,0.7170540802,0.09297972091
174,65.52150689,0.9303747618,162.0324049,0.9303747618,0,-0.07753123015,100,10.5311533,0.9204371554,0.72781702,0.2117123662
1,2.122572065,0.1934964273,144.1152692,0.1934964273,0,0.8370290788,100,27.70883989,1.126205071,1.050552715,0.1689310392
2,3.131804064,0.201954807,144.1152692,0.201954807,0,0.7868787724,100,70.72883542,2.648921754,7.284250614,0.3908883695
3,2.311605997,0.1852675967,144.1152692,0.1852675967,0,0.605107585,,,,,
55,11.47334515,0.3829981052,144.1152692,0.3829981052,0,0.9220051737,,,,,
56,10.60469968,0.3737282754,144.1152692,0.3737282754,0,0.9335939515,,,,,
57,10.82245677,0.3597248339,144.1152692,0.3597248339,0,0.9007108604,,,,,
109,23.57061441,0.6517077068,144.1152692,0.6517077068,0,0.7728764706,,,,,
110,21.77609966,0.4877644094,144.1152692,0.4877644094,0,0.7378061316,,,,,
111,23.47238527,0.4848388568,144.1152692,0.4848388568,0,1.058383024,,,,,
163,73.07415965,0.9594523856,144.1152692,0.9594523856,0,0.635021856,,,,,
164,83.84096201,0.8529605124,144.1152692,0.8529605124,0,0.6384433818,,,,,
165,88.52613575,0.8574435058,144.1152692,0.8574435058,0,0.3321574976,,,,,
4,2.958002107,0.3805454545,100,0.3805454545,0.04077272727,0.8698181818,,,,,
5,2.696404159,0.5469327177,100,0.5469327177,0.01302220756,0.8985323219,,,,,
6,1.606066553,0.3918214632,100,0.3918214632,0.01224442073,0.6734431399,,,,,
58,9.731961698,1.084602156,100,1.084602156,0,0.9963205852,,,,,
59,10.7056109,0.9952288578,100,0.9952288578,0,0.9441914805,,,,,
60,11.15588729,0.6814804525,100,0.6814804525,0,0.8921198651,,,,,
112,26.52446021,1.321266316,100,1.321266316,0.2142594027,0.8808442109,,,,,
113,28.52817415,1.027660037,100,1.027660037,0,0.8364674721,,,,,
114,28.07388531,1.02968886,100,1.02968886,0,0.8021994607,,,,,
166,78.98006274,2.821191663,100,2.821191663,0,0.5414408241,,,,,
167,65.1896296,2.924084497,100,2.924084497,0,0.958174581,,,,,
168,68.01681392,2.201489102,100,2.201489102,0,1.764352317,,,,,
13,1.286791073,0,97.94122645,0,0,0.29356891,97,1.377964547,0,0.1611793671,0
14,1.283036741,0,97.94122645,0,0,0.3978832685,97,10.48574269,0.6103720272,0.6366483527,0.1300000341
15,1.564065826,0,97.94122645,0,0,0.3506329442,97,23.39257677,0.9116805167,2.598112704,0.1365632195
67,10.79197971,0.680977114,97.94122645,0.680977114,0,0.8004467831,97,76.9603223,1.570776462,4.293064265,0.03022900031
68,9.753845043,0.6897917578,97.94122645,0.6897917578,0,0.7373636032,,,,,
69,10.91140332,0.4603472097,97.94122645,0.4603472097,0,0.5193660827,50,1.854850611,0.7107073368,0.03063821587,0.01291591561
121,23.94486486,1.068772361,97.94122645,1.068772361,0,1.030142035,50,10.46282672,1.241658466,0.5747264044,0.07333599628
122,25.67014042,0.8450142945,97.94122645,0.8450142945,0.01362926281,0.8995313457,50,25.60092545,1.417297697,3.226970457,0.1231691392
123,20.56272502,0.8212548946,97.94122645,0.8212548946,0,1.258374435,50,83.80557753,3.87568374,2.644046678,0.4341906018
175,81.22329896,1.562245747,97.94122645,1.562245747,0,0.5890434783,,,,,
176,77.01987784,1.604354149,97.94122645,1.604354149,0,0.6260894239,49,3.173299416,0.9992853097,0.09675989371,0.1146977664
177,72.63779009,1.545729491,97.94122645,1.545729491,0,0.6208257793,49,10.06199528,1.301893932,0.4931765226,0.05647823869
16,1.827143767,0.7162757087,50,0.7162757087,0,0.5013929961,49,21.45705014,2.017938118,4.090529598,0.3129954273
17,1.887755237,0.7199050456,50,0.7199050456,0.01199841743,0.5159319494,49,79.66014523,4.960974893,13.09083468,0.2934365509
18,1.84965283,0.6959412561,50,0.6959412561,0,0.5661894965,,,,,
70,10.94610006,1.312407393,50,1.312407393,0,0.3466736509,,,,,
71,10.6150753,1.16598375,50,1.16598375,0.01240408244,0.5457796274,,,,,
72,9.827304786,1.246584254,50,1.246584254,0,0.7202486802,,,,,
124,29.32347928,1.276264259,50,1.276264259,0,0.4594551331,,,,,
125,23.59722984,1.471914294,50,1.471914294,0,0.4095761513,,,,,
126,23.88206724,1.503714538,50,1.503714538,0,0.3825238738,,,,,
178,83.820506,4.318484271,50,4.318484271,0,0.3210768975,,,,,
179,86.44212836,3.450648394,50,3.450648394,0,-0.01614292379,,,,,
180,81.15409822,3.857918554,50,3.857918554,0,0.3475602301,,,,,
7,3.068137293,0.8770139572,49.03922353,0.8770139572,0.0690063788,0.8418778214,,,,,
8,3.193197561,1.104498927,49.03922353,1.104498927,0,0.8317831426,,,,,
9,3.258563393,1.016343045,49.03922353,1.016343045,0.05205342098,0.4945074993,,,,,
61,10.63094401,1.333755966,49.03922353,1.333755966,0.03739502707,0.6980405053,,,,,
62,9.798641716,1.335241709,49.03922353,1.335241709,0.06239447236,0.7362547739,,,,,
63,9.75640011,1.236684121,49.03922353,1.236684121,0,0.5621291457,,,,,
115,18.80324496,1.657114922,49.03922353,1.657114922,0,0.7391447855,,,,,
116,26.16779979,2.216269079,49.03922353,2.216269079,0.01204494064,0.6624717354,,,,,
117,19.40010566,2.180430352,49.03922353,2.180430352,0.01185016496,0.6754594025,,,,,
169,73.33100038,5.178272001,49.03922353,5.178272001,0,0.148896,,,,,
170,91.84423633,5.077474034,49.03922353,5.077474034,0,0.4873117494,,,,,
171,73.80519899,4.627178644,49.03922353,4.627178644,0.06156627093,0.4116706979,,,,,
